M,N,K,ProcessNum,ParallelTime,GFLOPS
5250,5250,5250,20,1.3098316666666667,220.9491932169401
5500,5500,5500,4,6.149403333333333,54.110940844667326
5500,5500,5500,8,3.2701356666666666,101.75418817996034
5500,5500,5500,12,2.3428340000000003,142.02884199221967
5500,5500,5500,16,1.8762116666666666,177.35205782574283
5500,5500,5500,20,1.5319553333333333,217.2060717174957
5750,5750,5750,4,7.100354666666667,53.54926167068462
5750,5750,5750,8,3.8350663333333337,99.1426788880401
5750,5750,5750,12,2.604037,146.01127019316547
5750,5750,5750,16,2.037117,186.64551422426894
5750,5750,5750,20,1.7405796666666664,218.44375025255
6000,6000,6000,4,8.029452333333333,53.801925967802624
6000,6000,6000,8,4.404300333333333,98.08595402326864
6000,6000,6000,12,3.0430343333333334,141.96356421874088
6000,6000,6000,16,2.1939203333333333,196.90778805246802
