M,N,K,KernelVersion,ParallelTime,GFLOPS
3250,3250,3250,0,910.6666663333334,75.39119695292503
3250,3250,3250,1,67.122335,1022.8525274038811
3250,3250,3250,2,81.86233233333333,838.6793784525978
3250,3250,3250,3,35.84600066666667,1915.311296187184
3250,3250,3250,4,35.938,1910.4082030163056
3500,3500,3500,0,1137.7830000000001,75.36586501995546
3500,3500,3500,1,83.90433533333334,1021.9972503129219
3500,3500,3500,2,102.21500166666668,838.9179533513026
3500,3500,3500,3,43.620668,1965.8112525924637
3500,3500,3500,4,43.786000333333334,1958.3885111040931
3750,3750,3750,0,1399.7426349999998,75.34867293657881
3750,3750,3750,1,103.38766700000001,1020.1289289176048
3750,3750,3750,2,126.54033399999999,833.4793078703269
3750,3750,3750,3,52.62466533333333,2004.169515035269
3750,3750,3750,4,52.770667,1998.6245388939271
4000,4000,4000,0,1694.2239989999998,75.55081268802167
4000,4000,4000,1,124.69933566666667,1026.468980894624
4000,4000,4000,2,152.016332,842.0147908844425
4000,4000,4000,3,58.57466766666667,2185.2450060564574
4000,4000,4000,4,60.507332999999996,2115.4460732883404
4250,4250,4250,0,2037.8389896666667,75.34022598375812
4250,4250,4250,1,149.512329,1026.880197953441
4250,4250,4250,2,183.39699800000002,837.1524707291009
4250,4250,4250,3,76.28833300000001,2012.5128438708966
4250,4250,4250,4,76.63700133333333,2003.3566988381294
4500,4500,4500,0,2419.275309,75.33247635025567
4500,4500,4500,1,177.9336646666667,1024.258115188148
4500,4500,4500,2,216.36033633333332,842.3447804186179
4500,4500,4500,3,88.38533266666667,2061.993709831146
4500,4500,4500,4,88.76966599999999,2053.0661904259055
4750,4750,4750,0,2832.5026043333332,75.67292247925351
4750,4750,4750,1,209.694331,1022.1723638299023
4750,4750,4750,2,256.28666666666663,836.3437426839738
4750,4750,4750,3,104.571332,2049.7372071343607
4750,4750,4750,4,104.023333,2060.535303170876
5000,5000,5000,0,3328.311686333333,75.11315752864928
5000,5000,5000,1,250.47932966666667,998.0863504094148
5000,5000,5000,2,304.122335,822.0376185129579
5000,5000,5000,3,118.13633499999999,2116.1990508677964
5000,5000,5000,4,122.14533233333333,2046.7421490798567
5250,5250,5250,0,3852.888346333333,75.11410245651638
5250,5250,5250,1,285.8986713333333,1012.2686077913847
5250,5250,5250,2,348.48699933333336,830.4649830657766
5250,5250,5250,3,135.46233133333334,2136.433406626197
5250,5250,5250,4,135.65233366666666,2133.4409971239197
5500,5500,5500,0,4416.069010333334,75.34981885957515
5500,5500,5500,1,321.54399600000005,1034.8506087484213
5500,5500,5500,2,392.419993,847.9435450170859
5500,5500,5500,3,155.376663,2141.569998835668
5500,5500,5500,4,155.90499866666667,2134.312580390302
5750,5750,5750,0,5062.5364586666665,75.10439739136993
5750,5750,5750,1,369.11832699999997,1030.072803727245
5750,5750,5750,2,450.09699500000005,844.7484747148777
5750,5750,5750,3,178.40066533333334,2131.26307174684
5750,5750,5750,4,178.84299733333333,2125.991823383143
6000,6000,6000,0,5711.375488000001,75.63852191256943
6000,6000,6000,1,418.3680013333333,1032.5837507247725
6000,6000,6000,2,513.213338,841.7552078508138
6000,6000,6000,3,202.41533433333333,2134.225657472133
6000,6000,6000,4,202.39966833333332,2134.3908493394188
6250,6250,6250,0,6446.335123666667,75.7455578453182
6250,6250,6250,1,473.546997,1031.1146582986355
6250,6250,6250,2,580.2393393333333,841.5169687753528
6250,6250,6250,3,229.89199799999997,2123.9593124072117
6250,6250,6250,4,230.88799533333335,2114.797043887308
6500,6500,6500,0,7261.623535333333,75.63735538306003
6500,6500,6500,1,533.800008,1028.943409082901
6500,6500,6500,2,656.3903399999999,836.7734357577535
6500,6500,6500,3,256.53834033333334,2141.0055092986545
6500,6500,6500,4,257.3909913333334,2133.913068032344
6750,6750,6750,0,8123.835286333334,75.7146998086935
6750,6750,6750,1,594.8920083333334,1033.9586704539272
6750,6750,6750,2,725.9379883333335,847.3089435809544
6750,6750,6750,3,285.3753356666667,2155.3851126029394
6750,6750,6750,4,286.41333033333336,2147.573750440114
7000,7000,7000,0,9094.126301999999,75.4333046649169
7000,7000,7000,1,665.5973513333333,1030.653139808618
7000,7000,7000,2,810.8496706666666,846.0261190412554
7000,7000,7000,3,310.90600566666666,2206.4546438369057
7000,7000,7000,4,311.3573406666667,2203.2562281369774
7250,7250,7250,0,10092.529947666668,75.51686781729153
7250,7250,7250,1,740.3269856666666,1029.4859768129024
7250,7250,7250,2,901.167989,845.7427020302204
7250,7250,7250,3,349.425659,2181.1685271801975
7250,7250,7250,4,352.6259973333333,2161.3728306014327
7500,7500,7500,0,11162.947591333332,75.58487515027564
7500,7500,7500,1,822.517334,1025.814247459981
